sample_size,subsystem,capacity_kw,mean_load_kw,p95_load_kw,p99_load_kw,p99_load_to_capacity_ratio,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower_pct,overload_probability_ci95_upper_pct,rule_of_three_upper_if_zero,previous_overload_probability_pct,previous_p99_load_to_capacity_ratio,change_from_previous_probability_pct_points,change_from_previous_p99_ratio
53044,FW,4871.78,4636.832,4920.3400390625,5002.065986328125,1.0267429946196514,4859,0.09160319734559988,9.160319734559987,8.914831290678197,9.405808178441779,,9.161999999999999,1.0266324688916322,-0.0016802654400116523,0.00011052572801917293
60619,FW,4871.78,4636.5312,4919.857373046875,5002.270361328125,1.0267849454056064,5540,0.09139048813078408,9.139048813078409,8.909650180156795,9.36844744600002,,9.160319734559987,1.0267429946196514,-0.021270921481578497,4.1950785955036096e-05
69276,FW,4871.78,4636.7495,4919.8704833984375,5002.2822265625,1.0267873809085182,6368,0.09192216640683643,9.192216640683643,8.977069126572179,9.407364154795106,,9.139048813078409,1.0267849454056064,0.05316782760523431,2.4355029117906213e-06
79168,FW,4871.78,4636.5386,4919.5544921875,5002.832944335937,1.0269004233228793,7289,0.09207002829426031,9.207002829426031,9.005599544695436,9.408406114156627,,9.192216640683643,1.0267873809085182,0.014786188742387907,0.00011304241436116413
90474,FW,4871.78,4636.623,4919.55390625,5001.94017578125,1.0267171702706712,8324,0.09200433273647678,9.200433273647677,9.01209429817128,9.388772249124075,,9.207002829426031,1.0269004233228793,-0.0065695557783538305,-0.00018325305220812105
100000,FW,4871.78,4636.2695,4919.443432617188,5002.571191406249,1.0268466949259305,9178,0.09178,9.178,8.999052502773981,9.356947497226018,,9.200433273647677,1.0267171702706712,-0.022433273647676444,0.00012952465525928325
103393,FW,4871.78,4636.2666,4919.16650390625,5002.27640625,1.0267861862091474,9472,0.09161161780778196,9.161161780778196,8.985320205852602,9.33700335570379,,9.178,1.0268466949259305,-0.016838219221805062,-6.0508716783092e-05
118158,FW,4871.78,4636.2583,4919.66396484375,5002.45103515625,1.0268220311993257,10840,0.09174156637722372,9.174156637722373,9.009563281596277,9.338749993848468,,9.161161780778196,1.0267861862091474,0.012994856944176902,3.58449901782798e-05
135031,FW,4871.78,4636.4023,4920.125,5002.6173828125,1.0268561763487885,12404,0.09186038761469588,9.186038761469588,9.031982350459575,9.3400951724796,,9.174156637722373,1.0268220311993257,0.01188212374721509,3.4145149462760926e-05
154314,FW,4871.78,4636.409,4919.864819335938,5002.605927734375,1.0268538250361008,14162,0.09177391552289488,9.177391552289487,9.033342626843249,9.321440477735727,,9.186038761469588,1.0268561763487885,-0.008647209180100646,-2.351312687665086e-06
