scenario,margin_case,distribution_model,dependency_model,rho,subsystem,p99_load_to_capacity_ratio,p99_spare_capacity_kw,overload_probability_pct
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.5,FW,0.958193102259721,203.67400827313668,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,0.9580989920590604,204.13249246651048,0.0
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.75,FW,0.957571300288276,206.70329068158208,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,FW,0.9573162778404362,500.87896707694745,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,FW,0.957064782323912,209.1709347700125,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.75,FW,0.9569691004077908,504.952976208715,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.25,FW,0.956927597428774,209.83926939844787,0.0
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.5,FW,0.9565994123687236,211.4381148102993,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,CW,0.956546362897132,60.49093913816023,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.5,FW,0.9565240103550532,510.1759566469718,0.0
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.25,FW,0.956503446099462,211.90564136156263,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,FW,0.9563366093971002,512.3750431722237,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.5,FW,0.9561904220750668,514.0905016925972,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.25,CW,0.956116920631394,61.08875712744907,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Independent,0.0,FW,0.9560554471463872,214.0881937011736,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.75,FW,0.9560306455285444,515.9654251420125,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Independent,0.0,FW,0.955751002521977,215.5713809334829,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,FW,0.9556954281197116,215.8421271949519,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,FW,0.9556723971359308,520.1693482248793,0.0
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.25,FW,0.9554017876641528,217.2726788935333,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.25,FW,0.9553925011084672,523.4538329425159,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.5,FW,0.9553822459060762,523.5741742558039,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.25,FW,0.9551012828246768,526.8711804885788,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Independent,0.0,FW,0.9549115427711788,529.0977155047585,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,FW,0.9547452939704189,531.0485886570859,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Independent,0.0,FW,0.9546827455851316,531.7825726919782,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.25,CW,0.9546760059918056,63.09462557892744,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.25,FW,0.9545349234145816,533.517215603848,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Independent,0.0,FW,0.9533809589521076,227.11771179630068,0.0
Scenario Bravo,Case A - CUM,Triangular,Independent,0.0,FW,0.9532447789200706,227.78115095277823,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Independent,0.0,FW,0.9529877897816964,551.6723027603184,0.0
Scenario Alpha,Case A - CUM,Triangular,Independent,0.0,FW,0.9529209943150002,552.4561248515402,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,CW,0.952794927469308,192.03306735920705,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.5,CW,0.9527405983962648,65.78886778452784,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.75,HVAC,0.9520735825015868,55.56684697601031,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,HVAC,0.9519619994465478,55.69621860168354,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.75,CW,0.9517934650691056,196.10707649097455,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.25,CW,0.9507401109327164,68.57370637278405,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.5,CW,0.9505095655105308,201.33005692923047,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Independent,0.0,CW,0.950433344974472,201.64012664314944,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,CW,0.9499689917418906,203.52914345448423,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.5,CW,0.949547302160033,205.24460197485587,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Independent,0.0,CW,0.9493639788340292,205.9903722644389,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.75,CW,0.9490864133212707,207.1195254242707,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.5,HVAC,0.9482963806087592,19.281830779575387,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,CW,0.9480530158092212,211.32344850713932,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.5,HVAC,0.9476102044813608,19.53772644276609,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Global Gaussian copula,0.25,CW,0.9472456322608872,214.60793322477505,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.5,CW,0.9472160502701378,214.7282745380635,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.75,HVAC,0.9471648496212888,61.25813005208556,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.75,HVAC,0.9470081570880008,61.43980250902996,0.0
Scenario Alpha,Case A - CUM,Triangular,Global Gaussian copula,0.25,CW,0.9464055887152996,218.02528077083844,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Independent,0.0,CW,0.9458582676295294,220.2518157870172,0.0
Scenario Alpha,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,CW,0.9453787090310012,222.20268893934556,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Independent,0.0,CW,0.9451982829716772,222.93667297423823,0.0
Scenario Alpha,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.25,CW,0.9447718775322616,224.67131588610755,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Subsystem-block Gaussian copula,0.25,HVAC,0.9447345208407592,64.07590184680703,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Truncated normal,Global Gaussian copula,0.25,HVAC,0.9441258623504888,64.78159267359615,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,CW,0.9432224117471752,79.03894505499238,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,HVAC,0.941749442354098,67.53686154581169,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.5,HVAC,0.941380869134048,67.96419270860201,0.0
