record_id,source_row,pbs_code,teamcenter_id,bom_id,item_description,system,scenario,margin_case,nominal_load_kw,uncertainty_pct,triangular_lower_kw,triangular_mode_kw,triangular_upper_kw,truncnorm_lower_kw,truncnorm_mean_kw,truncnorm_upper_kw,truncnorm_sigma_kw,is_degenerate
13,12,PBS_GROUP_0001,,BOM_000013,ITEM_000013,CW,Scenario Bravo,Case A - CUM,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
13,12,PBS_GROUP_0001,,BOM_000013,ITEM_000013,CW,Scenario Bravo,Case B - CMM + CUM,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
13,12,PBS_GROUP_0001,,BOM_000013,ITEM_000013,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
14,13,PBS_GROUP_0001,,BOM_000014,ITEM_000014,CW,Scenario Alpha,Case A - CUM,3.341,0.15,2.83985,3.341,3.8421499999999997,2.83985,3.341,3.8421499999999997,0.2556887755102041,False
14,13,PBS_GROUP_0001,,BOM_000014,ITEM_000014,CW,Scenario Alpha,Case B - CMM + CUM,3.341,0.25,2.50575,3.341,4.1762500000000005,2.50575,3.341,4.1762500000000005,0.4261479591836735,False
14,13,PBS_GROUP_0001,,BOM_000014,ITEM_000014,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.341,0.35,2.17165,3.341,4.510350000000001,2.17165,3.341,4.510350000000001,0.5966071428571428,False
14,13,PBS_GROUP_0001,,BOM_000014,ITEM_000014,CW,Scenario Bravo,Case A - CUM,3.341,0.15,2.83985,3.341,3.8421499999999997,2.83985,3.341,3.8421499999999997,0.2556887755102041,False
14,13,PBS_GROUP_0001,,BOM_000014,ITEM_000014,CW,Scenario Bravo,Case B - CMM + CUM,3.341,0.25,2.50575,3.341,4.1762500000000005,2.50575,3.341,4.1762500000000005,0.4261479591836735,False
14,13,PBS_GROUP_0001,,BOM_000014,ITEM_000014,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,3.341,0.35,2.17165,3.341,4.510350000000001,2.17165,3.341,4.510350000000001,0.5966071428571428,False
15,14,PBS_GROUP_0001,,BOM_000015,ITEM_000015,CW,Scenario Alpha,Case A - CUM,4.059,0.15,3.45015,4.059,4.66785,3.45015,4.059,4.66785,0.31063775510204084,False
15,14,PBS_GROUP_0001,,BOM_000015,ITEM_000015,CW,Scenario Alpha,Case B - CMM + CUM,4.059,0.25,3.04425,4.059,5.07375,3.04425,4.059,5.07375,0.5177295918367347,False
15,14,PBS_GROUP_0001,,BOM_000015,ITEM_000015,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,4.059,0.35,2.6383500000000004,4.059,5.47965,2.6383500000000004,4.059,5.47965,0.7248214285714286,False
15,14,PBS_GROUP_0001,,BOM_000015,ITEM_000015,CW,Scenario Bravo,Case A - CUM,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
15,14,PBS_GROUP_0001,,BOM_000015,ITEM_000015,CW,Scenario Bravo,Case B - CMM + CUM,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
15,14,PBS_GROUP_0001,,BOM_000015,ITEM_000015,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
16,15,PBS_GROUP_0001,,BOM_000016,ITEM_000016,CW,Scenario Alpha,Case A - CUM,3.916,0.15,3.3286,3.916,4.503399999999999,3.3286,3.916,4.503399999999999,0.2996938775510204,False
16,15,PBS_GROUP_0001,,BOM_000016,ITEM_000016,CW,Scenario Alpha,Case B - CMM + CUM,3.916,0.25,2.937,3.916,4.895,2.937,3.916,4.895,0.49948979591836734,False
16,15,PBS_GROUP_0001,,BOM_000016,ITEM_000016,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.916,0.35,2.5454,3.916,5.2866,2.5454,3.916,5.2866,0.6992857142857142,False
16,15,PBS_GROUP_0001,,BOM_000016,ITEM_000016,CW,Scenario Bravo,Case A - CUM,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
16,15,PBS_GROUP_0001,,BOM_000016,ITEM_000016,CW,Scenario Bravo,Case B - CMM + CUM,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
16,15,PBS_GROUP_0001,,BOM_000016,ITEM_000016,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
17,16,PBS_GROUP_0001,,BOM_000017,ITEM_000017,CW,Scenario Alpha,Case A - CUM,3.361,0.15,2.85685,3.361,3.86515,2.85685,3.361,3.86515,0.25721938775510206,False
17,16,PBS_GROUP_0001,,BOM_000017,ITEM_000017,CW,Scenario Alpha,Case B - CMM + CUM,3.361,0.25,2.52075,3.361,4.20125,2.52075,3.361,4.20125,0.4286989795918368,False
17,16,PBS_GROUP_0001,,BOM_000017,ITEM_000017,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.361,0.35,2.1846500000000004,3.361,4.537350000000001,2.1846500000000004,3.361,4.537350000000001,0.6001785714285715,False
17,16,PBS_GROUP_0001,,BOM_000017,ITEM_000017,CW,Scenario Bravo,Case A - CUM,3.3223485000000004,0.15,2.823996225,3.3223485000000004,3.820700775,2.823996225,3.3223485000000004,3.820700775,0.2542613647959184,False
17,16,PBS_GROUP_0001,,BOM_000017,ITEM_000017,CW,Scenario Bravo,Case B - CMM + CUM,3.3223485000000004,0.25,2.4917613750000003,3.3223485000000004,4.1529356250000005,2.4917613750000003,3.3223485000000004,4.1529356250000005,0.42376894132653065,False
17,16,PBS_GROUP_0001,,BOM_000017,ITEM_000017,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,3.3223485000000004,0.35,2.1595265250000004,3.3223485000000004,4.485170475000001,2.1595265250000004,3.3223485000000004,4.485170475000001,0.5932765178571429,False
18,17,PBS_GROUP_0001,,BOM_000018,ITEM_000018,CW,Scenario Alpha,Case A - CUM,3.49,0.15,2.9665,3.49,4.0135,2.9665,3.49,4.0135,0.2670918367346939,False
18,17,PBS_GROUP_0001,,BOM_000018,ITEM_000018,CW,Scenario Alpha,Case B - CMM + CUM,3.49,0.25,2.6175,3.49,4.362500000000001,2.6175,3.49,4.362500000000001,0.44515306122448983,False
18,17,PBS_GROUP_0001,,BOM_000018,ITEM_000018,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.49,0.35,2.2685000000000004,3.49,4.711500000000001,2.2685000000000004,3.49,4.711500000000001,0.6232142857142857,False
18,17,PBS_GROUP_0001,,BOM_000018,ITEM_000018,CW,Scenario Bravo,Case A - CUM,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
18,17,PBS_GROUP_0001,,BOM_000018,ITEM_000018,CW,Scenario Bravo,Case B - CMM + CUM,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
18,17,PBS_GROUP_0001,,BOM_000018,ITEM_000018,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
19,18,PBS_GROUP_0001,,BOM_000019,ITEM_000019,CW,Scenario Alpha,Case A - CUM,4.011,0.15,3.40935,4.011,4.6126499999999995,3.40935,4.011,4.6126499999999995,0.30696428571428575,False
19,18,PBS_GROUP_0001,,BOM_000019,ITEM_000019,CW,Scenario Alpha,Case B - CMM + CUM,4.011,0.25,3.0082500000000003,4.011,5.01375,3.0082500000000003,4.011,5.01375,0.5116071428571429,False
19,18,PBS_GROUP_0001,,BOM_000019,ITEM_000019,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,4.011,0.35,2.6071500000000003,4.011,5.41485,2.6071500000000003,4.011,5.41485,0.71625,False
19,18,PBS_GROUP_0001,,BOM_000019,ITEM_000019,CW,Scenario Bravo,Case A - CUM,3.8120544,0.15,3.24024624,3.8120544,4.38386256,3.24024624,3.8120544,4.38386256,0.29173885714285713,False
19,18,PBS_GROUP_0001,,BOM_000019,ITEM_000019,CW,Scenario Bravo,Case B - CMM + CUM,3.8120544,0.25,2.8590408,3.8120544,4.765068,2.8590408,3.8120544,4.765068,0.4862314285714286,False
19,18,PBS_GROUP_0001,,BOM_000019,ITEM_000019,CW,Scenario Bravo,Case C - CMM + CUM + DBM + IGM,3.8120544,0.35,2.4778353600000003,3.8120544,5.146273440000001,2.4778353600000003,3.8120544,5.146273440000001,0.680724,False
20,19,PBS_GROUP_0001,,BOM_000020,ITEM_000020,CW,Scenario Alpha,Case A - CUM,3.531,0.15,3.00135,3.531,4.06065,3.00135,3.531,4.06065,0.2702295918367347,False
20,19,PBS_GROUP_0001,,BOM_000020,ITEM_000020,CW,Scenario Alpha,Case B - CMM + CUM,3.531,0.25,2.64825,3.531,4.41375,2.64825,3.531,4.41375,0.4503826530612245,False
20,19,PBS_GROUP_0001,,BOM_000020,ITEM_000020,CW,Scenario Alpha,Case C - CMM + CUM + DBM + IGM,3.531,0.35,2.29515,3.531,4.766850000000001,2.29515,3.531,4.766850000000001,0.6305357142857142,False
20,19,PBS_GROUP_0001,,BOM_000020,ITEM_000020,CW,Scenario Bravo,Case A - CUM,1.7785647000000002,0.15,1.5117799950000002,1.7785647000000002,2.045349405,1.5117799950000002,1.7785647000000002,2.045349405,0.13611464540816326,False
